row_id,cluster_id,deskripsi
1,1,"Terjadi peristiwa:
- Menurut media ANTARA News Megapolitan, pada 02 Feb 2026, 19 rumah warga rusak akibat hujan dan angin kencang di Makassar
- Menurut media RRI.co.id, pada 02 Feb 2026, BMKG: Sebagian Wilayah Aceh Malam Ini Diprediksi Hujan
- Menurut media Qoo10.co.id, pada 05 Feb 2026, Hujan Dominasi Jawa Tengah 4-5 Feb 2026, Waspada Petir di Wilayah Banyumas & Cilacap
- Menurut media Qoo10.co.id, pada 05 Feb 2026, Waspada Hujan Lebat & Angin Kencang di Jawa Barat 5 Feb 2026, Cek Prakiraan Terbaru BMKG"
2,2,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)

Terjadi peristiwa:
- Menurut media RRI.co.id, pada 09 Feb 2026, BMKG: Waspada, Aceh Malam Ini Kembali Diguyur Hujan
- Menurut media Beritajateng.tv, pada 10 Feb 2026, Prakiraan Cuaca Semarang Hujan Sedang dan Jateng Selasa 10 Februari 2026"
3,3,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)"
4,4,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)

Terjadi peristiwa:
- Menurut media Nusadaily, pada 23 Feb 2026, Awas! BMKG Peringatkan Malang Raya dan Jatim Waspada Cuaca Ekstrem
- Menurut media Qoo10.co.id, pada 23 Feb 2026, Waspada Sirkulasi Siklonik Picu Hujan Lebat Berpotensi Terjang Jawa Bali Hingga NTT Hari Ini
- Menurut media Kompas.tv, pada 24 Feb 2026, Peringatan Dini BMKG 25 26 Februari 2026: Hujan Lebat Mengintai Sejumlah Provinsi, Ini Daftarnya
- Menurut media Jatimtimes, pada 24 Feb 2026, Bupati Malang Tinjau Dampak Bencana Puting Beliung: Rusak 15 Rumah, Kerugian Puluhan Juta
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Kamis Berpotensi Diguyur Hujan Lebat, BMKG Imbau Masyarakat Tingkatkan Kewaspadaan
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Waspada Hujan Lebat, BMKG Rilis Prakiraan Cuaca Rabu 25 Februari 2026
- Menurut media mandalikapost.com, pada 25 Feb 2026, Waspada! NTB Dikepung Cuaca Ekstrem Hingga 27 Februari, BMKG ZAM Ingatkan Potensi Hujan Sangat Lebat
- Menurut media Jatim Hari Ini, pada 25 Feb 2026, Pohon Besar Tumbang Tutup Jalur Ranupani-Malang, Akses Sempat Lumpuh Total
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Cuaca Indonesia 24 Februari 2026: Sejumlah Wilayah Berpotensi Hujan Lebat hingga Petir"
5,5,"Berdekatan dengan hari besar:
- New Year's Day (01-01-2026)
- Isra' and Mi'raj (estimated) (16-01-2026)

Terjadi peristiwa:
- Menurut media MetroTVNews.com, pada 05 Jan 2026, Waspada Cuaca Ekstrem, BMKG Beri Peringatan Hingga 8 Januari 2026
- Menurut media HARIAN DISWAY, pada 02 Jan 2026, Sepekan Cuaca Ekstrem di Jatim, Berlaku di 38 Kabupaten Kota
- Menurut media Radar Tuban, pada 08 Jan 2026, Waspada Cuaca Ekstrem! Gelombang Laut di Sejumlah Perairan Indonesia Berpotensi Tembus 6 Meter
- Menurut media Kompas.com, pada 09 Jan 2026, Peringatan Dini BMKG 9 Januari 2026: Daftar Wilayah Berpotensi Cuaca Ekstrem dan Hujan Lebat
- Menurut media Tribun Video, pada 10 Jan 2026, Waspada! Cuaca Ekstrem Minggu 11 Januari 2026, 17 Wilayah Terancam Hujan Lebat & Angin Kencang
- Menurut media Tirto.id, pada 15 Jan 2026, BMKG Deteksi 2 Siklon Tropis Sebabkan Cuaca Ekstrem Jawa-Bali
- Menurut media CNN Indonesia, pada 02 Jan 2026, Prediksi Cuaca Awal Tahun 2026
- Menurut media RRI.co.id, pada 03 Jan 2026, BMKG Imbau Dampak Siklon Tropis IGGY
- Menurut media Bisnis.com, pada 13 Jan 2026, Awal 2026 Sudah 26.318 Warga Jabar Terdampak Bencana Alam
- Menurut media Kompas.com, pada 08 Jan 2026, BMKG Beri Peringatan Dini Cuaca Ekstrem 8 Januari 2026: Daftar Wilayah Berpotensi Hujan Lebat"
6,6,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (estimated) (16-01-2026)

Terjadi peristiwa:
- Menurut media SinPo.id, pada 25 Jan 2026, BMKG Peringatkan Cuaca Ekstrem Akhir Pekan di Jakarta dan Sejumlah Wilayah
- Menurut media Antara News jatim, pada 24 Jan 2026, BMKG ungkap penyebab angin kencang di wilayah Malang
- Menurut media Kompas.com, pada 22 Jan 2026, BMKG Peringatkan Cuaca Ekstrem Saat Puncak Musim Hujan di Jatim
- Menurut media Tugu Malang ID, pada 24 Jan 2026, Cuaca Ekstrem Akan Melanda Malang hingga Akhir Januari 2026
- Menurut media beritabuana.co, pada 27 Jan 2026, Waspada dan Siaga! BMKG Ingatkan Potensi Cuaca Ekstrem Picu Banjir Bandang dan Longsor
- Menurut media Kompas.tv, pada 22 Jan 2026, Peringatan Dini Cuaca 23-24 Januari 2026, BMKG: Waspadai Potensi Hujan Ekstrem di Jakarta-Banten
- Menurut media Ulasan.co, pada 22 Jan 2026, Cuaca Ekstrem Mengintai Akhir Januari, BMKG Ungkap Wilayah RI yang Paling Berisiko
- Menurut media Kabar Nusantara, pada 20 Jan 2026, Khofifah Bersama DPRD Jatim Resmikan Dua Perda Penguatan Sektor Perikanan Budidaya dan Penanggulangan Bencana
- Menurut media Liputan6.com, pada 21 Jan 2026, BMKG Ungkap Potensi Cuaca Ekstrem di Akhir Januari 2026, Kenali Ciri Hoaksnya
- Menurut media detikcom, pada 23 Jan 2026, Mengapa Jabodetabek Hujan Terus Sepekan Ini? Begini Penjelasan BMKG
- Menurut media Kompas.com, pada 27 Jan 2026, Waspada, Cuaca Ekstrem Masih Membayangi Wilayah Indonesia
- Menurut media Kompas.com, pada 21 Jan 2026, Cuaca Ekstrem di Indonesia Sampai Kapan? Ini Jawaban BMKG"
7,7,Tidak ditemukan peristiwa dalam periode tersebut.
8,8,"Terjadi peristiwa:
- Menurut media Kompas.tv, pada 08 Feb 2026, BMKG Sebut Ada Peringatan Dini Cuaca Ekstrem 9-10 Februari 2026, Waspada Banjir!
- Menurut media ANTARA News Megapolitan, pada 02 Feb 2026, 19 rumah warga rusak akibat hujan dan angin kencang di Makassar
- Menurut media RRI.co.id, pada 09 Feb 2026, BMKG: Waspada, Aceh Malam Ini Kembali Diguyur Hujan
- Menurut media Kompas.tv, pada 08 Feb 2026, Prakiraan Cuaca BMKG Hari Ini Minggu 8 Februari 2026: Jawa dan NTT Waspada Hujan Lebat
- Menurut media RRI.co.id, pada 02 Feb 2026, BMKG: Sebagian Wilayah Aceh Malam Ini Diprediksi Hujan
- Menurut media Qoo10.co.id, pada 05 Feb 2026, Hujan Dominasi Jawa Tengah 4-5 Feb 2026, Waspada Petir di Wilayah Banyumas & Cilacap
- Menurut media Qoo10.co.id, pada 05 Feb 2026, Waspada Hujan Lebat & Angin Kencang di Jawa Barat 5 Feb 2026, Cek Prakiraan Terbaru BMKG"
9,9,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)

Terjadi peristiwa:
- Menurut media RRI.co.id, pada 17 Feb 2026, Harga Pangan Jadi Tantangan Utama Pengendalian Inflasi 2026
- Menurut media TVRI News, pada 16 Feb 2026, Penentuan 1 Ramadan 2026, BMKG Terjunkan Tim di 37 Lokasi
- Menurut media RRI.co.id, pada 16 Feb 2026, Cuaca Ekstrim Harga Cabai Melonjak Rp 45.000/Kg
- Menurut media RRI.co.id, pada 15 Feb 2026, BMKG Ingatkan Potensi Cuaca Ekstrem di Sulawesi Utara"
10,10,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)

Terjadi peristiwa:
- Menurut media Beritajateng.tv, pada 19 Feb 2026, Prakiraan Cuaca 19 Februari 2026 : Waspada Cuaca Ekstrem Jawa Tengah di Wilayah Muria"
11,11,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)

Terjadi peristiwa:
- Menurut media Nusadaily, pada 23 Feb 2026, Awas! BMKG Peringatkan Malang Raya dan Jatim Waspada Cuaca Ekstrem
- Menurut media Kompas.tv, pada 24 Feb 2026, Peringatan Dini BMKG 25 26 Februari 2026: Hujan Lebat Mengintai Sejumlah Provinsi, Ini Daftarnya
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Kamis Berpotensi Diguyur Hujan Lebat, BMKG Imbau Masyarakat Tingkatkan Kewaspadaan
- Menurut media Qoo10.co.id, pada 23 Feb 2026, Waspada Sirkulasi Siklonik Picu Hujan Lebat Berpotensi Terjang Jawa Bali Hingga NTT Hari Ini
- Menurut media Beritajateng.tv, pada 22 Feb 2026, Waspada Cuaca Ekstrem! Ini Prakiraan Lengkap BMKG untuk Senin, 23 Februari 2026
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Waspada Hujan Lebat, BMKG Rilis Prakiraan Cuaca Rabu 25 Februari 2026
- Menurut media Beritajateng.tv, pada 22 Feb 2026, Cuaca Minggu 22 Februari 2026: Waspada Hujan Lebat dan Petir di Sejumlah Wilayah
- Menurut media Jatim Hari Ini, pada 25 Feb 2026, Pohon Besar Tumbang Tutup Jalur Ranupani-Malang, Akses Sempat Lumpuh Total
- Menurut media VIVA Banyuwangi, pada 23 Feb 2026, Cuaca Ekstrem, KAI Daop 9 Jember Perkuat Infrastruktur dan Siagakan Petugas Ekstra
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Cuaca Indonesia 24 Februari 2026: Sejumlah Wilayah Berpotensi Hujan Lebat hingga Petir"
12,12,"Berdekatan dengan hari besar:
- New Year's Day (01-01-2026)
- Isra' and Mi'raj (estimated) (16-01-2026)

Terjadi peristiwa:
- Menurut media MetroTVNews.com, pada 05 Jan 2026, Waspada Cuaca Ekstrem, BMKG Beri Peringatan Hingga 8 Januari 2026
- Menurut media HARIAN DISWAY, pada 02 Jan 2026, Sepekan Cuaca Ekstrem di Jatim, Berlaku di 38 Kabupaten Kota
- Menurut media Radar Tuban, pada 08 Jan 2026, Waspada Cuaca Ekstrem! Gelombang Laut di Sejumlah Perairan Indonesia Berpotensi Tembus 6 Meter
- Menurut media Kompas.com, pada 09 Jan 2026, Peringatan Dini BMKG 9 Januari 2026: Daftar Wilayah Berpotensi Cuaca Ekstrem dan Hujan Lebat
- Menurut media Kompas.tv, pada 09 Jan 2026, BMKG Keluarkan Peringatan Dini Gelombang Tinggi hingga 4 Meter, Berlaku 10 13 Januari 2026
- Menurut media CNN Indonesia, pada 02 Jan 2026, Prediksi Cuaca Awal Tahun 2026
- Menurut media RRI.co.id, pada 03 Jan 2026, BMKG Imbau Dampak Siklon Tropis IGGY
- Menurut media Liputan6.com, pada 08 Jan 2026, Wamendagri Akhmad Wiyagus Apresiasi Penanganan Banjir Bandang Sitaro
- Menurut media Kompas.com, pada 05 Jan 2026, BMKG Prediksi Hujan Lebat dan Angin Kencang hingga 8 Januari 2026 akibat Siklon Tropis
- Menurut media Kompas.com, pada 08 Jan 2026, BMKG Beri Peringatan Dini Cuaca Ekstrem 8 Januari 2026: Daftar Wilayah Berpotensi Hujan Lebat"
13,13,"Berdekatan dengan hari besar:
- Isra' and Mi'raj (estimated) (16-01-2026)

Terjadi peristiwa:
- Menurut media Antara News jatim, pada 24 Jan 2026, BMKG ungkap penyebab angin kencang di wilayah Malang
- Menurut media Kompas.com, pada 22 Jan 2026, BMKG Peringatkan Cuaca Ekstrem Saat Puncak Musim Hujan di Jatim
- Menurut media Tugu Malang ID, pada 24 Jan 2026, Cuaca Ekstrem Akan Melanda Malang hingga Akhir Januari 2026
- Menurut media Kompas.tv, pada 22 Jan 2026, Peringatan Dini Cuaca 23-24 Januari 2026, BMKG: Waspadai Potensi Hujan Ekstrem di Jakarta-Banten
- Menurut media Ulasan.co, pada 22 Jan 2026, Cuaca Ekstrem Mengintai Akhir Januari, BMKG Ungkap Wilayah RI yang Paling Berisiko
- Menurut media Kabar Nusantara, pada 20 Jan 2026, Khofifah Bersama DPRD Jatim Resmikan Dua Perda Penguatan Sektor Perikanan Budidaya dan Penanggulangan Bencana
- Menurut media Liputan6.com, pada 21 Jan 2026, BMKG Ungkap Potensi Cuaca Ekstrem di Akhir Januari 2026, Kenali Ciri Hoaksnya
- Menurut media detikcom, pada 23 Jan 2026, Mengapa Jabodetabek Hujan Terus Sepekan Ini? Begini Penjelasan BMKG
- Menurut media Suara Jatim Post, pada 17 Jan 2026, KSOP Probolinggo Perketat Pengawasan Pelayaran Menyusul Peringatan Cuaca Ekstrem BMKG
- Menurut media Bisnis.com, pada 22 Jan 2026, Prediksi Awal Musim Kemarau 2026, Kapan Hujan Berhenti Tahun Ini?
- Menurut media Tirto.id, pada 15 Jan 2026, BMKG Deteksi 2 Siklon Tropis Sebabkan Cuaca Ekstrem Jawa-Bali
- Menurut media Kabar Malang Com, pada 18 Jan 2026, Waspada Cuaca Ekstrem Hingga 23 Januari 2026: Peringatan Dini BMKG dan Siklon Tropis Nokaen
- Menurut media Kompas.com, pada 21 Jan 2026, Cuaca Ekstrem di Indonesia Sampai Kapan? Ini Jawaban BMKG
- Menurut media Tirto.id, pada 22 Jan 2026, Musim Hujan Sampai Kapan di 2026? Ini Kata BMKG"
14,14,"Terjadi peristiwa:
- Menurut media SinPo.id, pada 25 Jan 2026, BMKG Peringatkan Cuaca Ekstrem Akhir Pekan di Jakarta dan Sejumlah Wilayah
- Menurut media detikNews, pada 26 Jan 2026, Cuaca Makin Ekstrem, Bencana Alam Terus Menghantui Indonesia
- Menurut media Bisnis.com, pada 26 Jan 2026, BMKG Ingatkan Potensi Angin Kencang di Kuningan Selama Beberapa Hari ke Depan"
15,15,"Terjadi peristiwa:
- Menurut media ANTARA News Megapolitan, pada 02 Feb 2026, 19 rumah warga rusak akibat hujan dan angin kencang di Makassar
- Menurut media RRI.co.id, pada 02 Feb 2026, BMKG: Sebagian Wilayah Aceh Malam Ini Diprediksi Hujan
- Menurut media Kaltim Post, pada 01 Feb 2026, BMKG Kaltim Warning Cuaca Ekstrem Awal Februari 2026: Berikut yang Harus Diwaspadai
- Menurut media BisnisUpdate.com, pada 01 Feb 2026, BNPB Tangani Cepat Rangkaian Bencana dalam Dua Hari"
16,16,"Terjadi peristiwa:
- Menurut media Kompas.tv, pada 08 Feb 2026, BMKG Sebut Ada Peringatan Dini Cuaca Ekstrem 9-10 Februari 2026, Waspada Banjir!
- Menurut media RRI.co.id, pada 09 Feb 2026, BMKG: Waspada, Aceh Malam Ini Kembali Diguyur Hujan
- Menurut media Kompas.tv, pada 08 Feb 2026, Prakiraan Cuaca BMKG Hari Ini Minggu 8 Februari 2026: Jawa dan NTT Waspada Hujan Lebat
- Menurut media Qoo10.co.id, pada 05 Feb 2026, Hujan Dominasi Jawa Tengah 4-5 Feb 2026, Waspada Petir di Wilayah Banyumas & Cilacap
- Menurut media Qoo10.co.id, pada 05 Feb 2026, Waspada Hujan Lebat & Angin Kencang di Jawa Barat 5 Feb 2026, Cek Prakiraan Terbaru BMKG"
17,17,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)

Terjadi peristiwa:
- Menurut media HarianBasis.co, pada 12 Feb 2026, Longsor dan Banjir Landa Tasikmalaya, Puluhan Warga Mengungsi"
18,18,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)"
19,19,"Berdekatan dengan hari besar:
- Lunar New Year (estimated) (17-02-2026)

Terjadi peristiwa:
- Menurut media Nusadaily, pada 23 Feb 2026, Awas! BMKG Peringatkan Malang Raya dan Jatim Waspada Cuaca Ekstrem
- Menurut media Kompas.tv, pada 24 Feb 2026, Peringatan Dini BMKG 25 26 Februari 2026: Hujan Lebat Mengintai Sejumlah Provinsi, Ini Daftarnya
- Menurut media Sinergia Mediatama, pada 19 Feb 2026, Waspada Cuaca Ekstrem di Madiun, Sejumlah Rumah Rusak Diterjang Hujan dan Angin Kencang
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Kamis Berpotensi Diguyur Hujan Lebat, BMKG Imbau Masyarakat Tingkatkan Kewaspadaan
- Menurut media Qoo10.co.id, pada 23 Feb 2026, Waspada Sirkulasi Siklonik Picu Hujan Lebat Berpotensi Terjang Jawa Bali Hingga NTT Hari Ini
- Menurut media VIVA Banyuwangi, pada 23 Feb 2026, Cuaca Ekstrem, KAI Daop 9 Jember Perkuat Infrastruktur dan Siagakan Petugas Ekstra
- Menurut media Beritajateng.tv, pada 22 Feb 2026, Cuaca Minggu 22 Februari 2026: Waspada Hujan Lebat dan Petir di Sejumlah Wilayah
- Menurut media Beritajateng.tv, pada 22 Feb 2026, Waspada Cuaca Ekstrem! Ini Prakiraan Lengkap BMKG untuk Senin, 23 Februari 2026
- Menurut media Beritajateng.tv, pada 20 Feb 2026, Cuaca Jumat, 20 Februari 2026: BMKG Peringatkan Potensi Hujan Lebat di Sejumlah Wilayah
- Menurut media Beritajateng.tv, pada 19 Feb 2026, Prakiraan Cuaca 19 Februari 2026 : Waspada Cuaca Ekstrem Jawa Tengah di Wilayah Muria
- Menurut media Beritajateng.tv, pada 24 Feb 2026, Waspada Hujan Lebat, BMKG Rilis Prakiraan Cuaca Rabu 25 Februari 2026"
